sno,district,counties,constituencies,subcounties_towns_divisions,parishes_wards,villages
1,ABIM,1,1,16,76,577
2,ADJUMANI,2,2,11,56,211
3,AGAGO,3,3,26,117,1147
4,ALEBTONG,2,2,14,69,726
5,AMOLATAR,2,2,16,85,581
6,AMUDAT,1,1,11,44,416
7,AMURIA,2,2,18,99,528
8,AMURU,2,2,13,58,203
9,APAC,3,3,12,54,386
10,ARUA,1,1,4,32,257
11,ARUA CITY,2,3,2,54,469
12,BUDAKA,2,2,20,76,323
13,BUDUDA,3,3,28,160,1441
14,BUGIRI,2,3,20,102,485
15,BUGWERI,1,1,8,36,145
16,BUHWEJU,2,2,14,68,348
17,BUIKWE,3,3,13,67,478
18,BUKEDEA,2,2,16,152,336
19,BUKOMANSIMBI,2,2,9,39,254
20,BUKWO,2,2,21,109,784
21,BULAMBULI,3,3,26,122,1313
22,BULIISA,1,1,10,39,131
23,BUNDIBUGYO,2,2,27,130,838
24,BUNYANGABU,1,1,15,55,338
25,BUSHENYI,2,3,17,72,571
26,BUSIA,3,4,20,70,570
27,BUTALEJA,2,2,15,76,443
28,BUTAMBALA,1,1,7,25,141
29,BUTEBO,1,1,17,61,269
30,BUVUMA,1,1,9,38,213
31,BUYENDE,2,2,14,73,547
32,DOKOLO,2,2,14,71,484
33,FORT PORTAL CITY,2,2,2,25,196
34,GOMBA,2,2,9,49,284
35,GULU,1,1,11,47,166
36,GULU CITY,2,2,2,32,128
37,HOIMA,2,2,14,55,320
38,HOIMA CITY,2,2,2,16,146
39,IBANDA,2,3,16,61,606
40,IGANGA,2,3,11,53,231
41,ISINGIRO,4,5,30,131,901
42,JINJA,3,3,7,34,264
43,JINJA CITY,2,3,2,26,141
44,KAABONG,3,3,19,85,455
45,KABALE,2,3,15,79,728
46,KABAROLE,1,1,15,52,347
47,KABERAMAIDO,2,2,9,29,234
48,KAGADI,2,2,35,151,906
49,KAKUMIRO,3,3,24,105,585
50,KALAKI,1,1,10,34,223
51,KALANGALA,2,2,7,17,97
52,KALIRO,2,2,15,87,598
53,KALUNGU,1,2,7,37,268
54,KAMPALA,5,9,6,100,857
55,KAMULI,3,4,22,90,775
56,KAMWENGE,2,2,18,74,440
57,KANUNGU,1,2,27,102,526
58,KAPCHORWA,2,2,15,85,641
59,KAPELEBYONG,1,1,11,55,327
60,KARENGA,2,2,10,37,228
61,KASESE,3,5,44,215,867
62,KASSANDA,2,3,15,92,569
63,KATAKWI,3,3,20,131,634
64,KAYUNGA,2,3,13,71,408
65,KAZO,1,1,10,51,346
66,KIBAALE,2,2,14,57,312
67,KIBOGA,2,2,14,58,279
68,KIBUKU,2,2,22,92,405
69,KIKUUBE,2,2,7,29,335
70,KIRUHURA,2,2,14,56,303
71,KIRYANDONGO,2,2,13,43,323
72,KISORO,3,5,24,71,448
73,KITAGWENDA,1,1,13,55,356
74,KITGUM,3,3,22,83,686
75,KOBOKO,3,3,11,59,434
76,KOLE,2,2,11,54,590
77,KOTIDO,2,2,19,77,493
78,KUMI,3,3,18,154,325
79,KWANIA,2,2,11,49,447
80,KWEEN,2,2,19,101,642
81,KYANKWANZI,2,2,21,119,485
82,KYEGEGWA,3,3,19,81,677
83,KYENJOJO,2,3,31,167,892
84,KYOTERA,2,2,14,66,334
85,LAMWO,2,2,19,86,530
86,LIRA,1,2,11,67,669
87,LIRA CITY,2,2,2,49,238
88,LUUKA,2,2,12,64,306
89,LUWEERO,2,3,18,101,624
90,LWENGO,1,3,10,45,438
91,LYANTONDE,1,1,8,30,227
92,MADI-OKOLLO,2,2,12,46,287
93,MANAFWA,2,2,32,156,1317
94,MARACHA,2,2,19,91,691
95,MASAKA,1,2,4,18,182
96,MASAKA CITY,2,2,2,25,201
97,MASINDI,3,3,18,57,417
98,MAYUGE,1,3,16,84,493
99,MBALE,2,3,17,90,613
100,MBALE CITY,2,2,2,58,389
101,MBARARA,2,2,11,46,359
102,MBARARA CITY,2,2,2,23,186
103,MITOOMA,3,3,18,79,564
104,MITYANA,3,4,17,90,613
105,MOROTO,3,3,9,41,232
106,MOYO,1,1,10,45,225
107,MPIGI,1,2,9,56,339
108,MUBENDE,4,4,19,97,612
109,MUKONO,3,4,18,97,610
110,NABILATUK,1,1,6,26,108
111,NAKAPIRIPIRIT,2,2,9,35,206
112,NAKASEKE,3,3,15,71,442
113,NAKASONGOLA,2,2,15,68,359
114,NAMAYINGO,3,3,11,50,306
115,NAMISINDWA,2,2,29,163,1547
116,NAMUTUMBA,3,3,20,111,629
117,NAPAK,2,2,14,59,359
118,NEBBI,2,2,16,69,639
119,NGORA,2,2,11,73,147
120,NTOROKO,1,1,10,47,184
121,NTUNGAMO,5,5,34,135,1033
122,NWOYA,2,2,11,44,124
123,OBONGI,1,1,6,28,150
124,OMORO,2,2,15,65,451
125,OTUKE,2,2,14,54,519
126,OYAM,1,2,16,74,1093
127,PADER,2,2,23,97,871
128,PAKWACH,1,1,10,48,585
129,PALLISA,4,4,21,90,498
130,RAKAI,2,2,19,73,447
131,RUBANDA,1,2,17,70,476
132,RUBIRIZI,2,2,11,53,293
133,RUKIGA,1,1,6,30,293
134,RUKUNGIRI,3,3,16,105,831
135,RWAMPARA,2,2,8,29,243
136,SERERE,3,3,15,70,284
137,SHEEMA,2,3,15,74,619
138,SIRONKO,1,2,42,225,1545
139,SOROTI,3,3,12,54,358
140,SOROTI CITY,2,2,2,25,144
141,SSEMBABULE,4,4,17,65,505
142,TEREGO,2,2,7,42,377
143,TORORO,6,7,42,180,1337
144,WAKISO,6,8,27,147,720
145,YUMBE,4,4,26,202,1233
146,ZOMBO,2,2,15,61,752
